Id,Label,timeset,modularity_class,indegree,outdegree,degree
linkin0007,,,33,1,0,1
mishalee,,,33,1,0,1
revolvery,,,33,1,0,1
swanson,,,33,1,0,1
42926803,,,33,1,0,1
ga0yang,,,33,2,0,2
boporsky,,,33,2,0,2
fugen,,,33,15,0,15
17205516,,,33,1,0,1
3721249,,,33,1,0,1
meaky,,,33,1,0,1
lele67520,,,33,1,0,1
lan33xp,,,33,1,0,1
37644997,,,33,1,0,1
chen66,,,33,2,0,2
riririri,,,33,1,0,1
nanguazi,,,33,3,0,3
LYDIA--MOMO,,,33,1,0,1
huofar,,,33,1,0,1
Raineryhh,,,33,1,0,1
16217751,,,33,1,0,1
39142755,,,33,1,0,1
38529433,,,33,1,0,1
ruxicc,,,33,1,0,1
Ing7,,,33,2,0,2
gaozhiwen,,,33,2,0,2
mirrolovepanda,,,33,1,0,1
Mithrandir.,,,33,1,0,1
32013600,,,33,1,0,1
28571942,,,33,1,0,1
53773948,,,33,0,65,65
Januaryyi,,,33,3,0,3
yoko-0423,,,11,3,0,3
66903447,,,33,1,0,1
102924487,,,33,1,0,1
mattony,,,33,2,0,2
ruojin13,,,33,2,0,2
ypy-douban,,,29,5,0,5
69773574,,,33,1,0,1
treasure711,,,33,1,0,1
120477675,,,33,2,0,2
CissyHsia,,,33,1,0,1
43742871,,,33,1,0,1
A1withoutmyself,,,33,1,0,1
129156222,,,33,1,0,1
krysta,,,33,1,0,1
53290134,,,33,1,0,1
65616922,,,33,1,0,1
37934082,,,33,1,0,1
i20141113,,,33,1,0,1
75820807,,,33,2,0,2
kissearth,,,33,3,0,3
cornmeal,,,33,3,0,3
fydanny,,,33,2,0,2
waggawagga,,,8,6,0,6
DouDoucomehere,,,33,2,0,2
81623359,,,33,1,0,1
hhtytgfgg,,,33,6,0,6
1305791,,,33,1,0,1
131807031,,,33,1,0,1
125276683,,,33,1,0,1
jinpaijingjiren,,,33,1,0,1
thirteenth,,,33,2,0,2
momokozxl,,,33,1,0,1
XBloveDD4ever,,,33,2,0,2
58393534,,,33,1,0,1
97327196,,,33,1,0,1
53925951,,,33,1,0,1
93202057,,,33,1,0,1
91477877,,,33,1,0,1
zhaoxd,,,33,3,0,3
xiaokong131,,,33,1,0,1
fuckingstudent,,,33,1,0,1
62119961,,,33,1,0,1
aiwupian,,,33,3,0,3
76338647,,,11,3,0,3
68610515,,,33,1,0,1
ytdb,,,33,4,0,4
duxiaoming,,,33,2,0,2
59386052,,,33,1,0,1
3029647,,,33,1,0,1
1407568,,,33,1,0,1
souplinry,,,33,1,0,1
52300292,,,33,1,0,1
50125597,,,33,1,0,1
69387630,,,33,1,0,1
pandaniubi,,,33,1,0,1
zhuangbixia,,,33,1,0,1
yuyue_9527,,,33,0,3,3
34545929,,,33,2,0,2
62054075,,,33,3,0,3
kayking,,,3,0,7,7
152092623,,,3,1,0,1
summer-song,,,3,1,0,1
sleepymia,,,3,1,0,1
128414352,,,3,1,0,1
tuopu_youth,,,3,1,0,1
37793923,,,3,1,0,1
2584434,,,3,1,0,1
66800603,,,4,0,1,1
mining,,,4,1,0,1
fengcate,,,11,0,2,2
64158090,,,11,2,0,2
65435954,,,11,2,0,2
iocye,,,11,0,15,15
86226693,,,11,1,0,1
guolichenglangl,,,33,3,0,3
mayjane,,,11,1,0,1
44064739,,,11,2,0,2
67711186,,,11,1,0,1
55504274,,,11,1,0,1
robbie1127,,,11,1,0,1
35404244,,,11,1,0,1
YUYII,,,11,2,0,2
zaooaz,,,11,2,0,2
138422735,,,11,0,51,51
159183414,,,11,1,0,1
158459516,,,11,8,0,8
casperstef,,,11,1,0,1
4871375,,,11,1,0,1
lihexi,,,11,2,0,2
ANABELLA,,,11,2,0,2
125309049,,,11,1,0,1
leaf0831,,,11,1,0,1
57630614,,,11,1,0,1
44712664,,,11,1,0,1
91734295,,,11,1,0,1
148644596,,,11,1,0,1
amoyi04,,,11,4,0,4
105806666,,,11,1,0,1
wanmer,,,11,4,0,4
wanqing0222,,,11,2,0,2
myida,,,11,2,0,2
cqxdz,,,11,3,0,3
canon520,,,0,3,0,3
40454105,,,11,1,0,1
rosemarytv,,,11,2,0,2
2529003,,,11,1,0,1
krugman,,,11,1,0,1
114340940,,,11,2,0,2
Q598176297,,,11,6,0,6
doubanread,,,11,4,0,4
Princewhiteme,,,11,2,0,2
92448546,,,11,1,0,1
nerve91,,,11,1,0,1
shiwusuoshi_x,,,11,1,0,1
42238263,,,11,1,0,1
88454309,,,11,1,0,1
maolu,,,11,3,0,3
notbitchy,,,8,4,0,4
150758491,,,11,1,0,1
151971352,,,11,1,0,1
13328184,,,11,1,0,1
bin12345,,,0,7,0,7
146841069,,,11,1,0,1
